ID,bars,kpi,State,Selisih,Position,Tahun
36,76,66,tetap,2,6,2022
36,68,68,tetap,3,6,2023
36,86,78,tetap,4,6,2024
36,74,78,tetap,5,6,2025
37,65,96,tetap,1,6,2021
37,77,89,tetap,2,6,2022
37,99,86,promosi,3,6,2023
37,100,88,promosi,4,5,2024
37,82,79,tetap,1,4,2025
38,77,90,tetap,1,5,2021
38,80,72,tetap,2,5,2022
38,97,92,promosi,3,5,2023
38,86,79,tetap,1,4,2024
38,83,98,tetap,2,4,2025
39,73,68,tetap,1,5,2021
39,79,93,tetap,2,5,2022
39,86,91,promosi,3,5,2023
39,85,62,tetap,1,4,2024
39,91,79,tetap,2,4,2025
40,98,68,tetap,1,7,2021
40,81,69,tetap,2,7,2022
40,93,68,tetap,3,7,2023
40,85,96,promosi,4,7,2024
40,80,74,tetap,1,6,2025
41,90,100,promosi,1,7,2021
41,65,69,tetap,1,6,2022
41,82,82,tetap,2,6,2023
41,85,66,tetap,3,6,2024
41,70,74,tetap,4,6,2025
42,89,83,tetap,1,7,2021
42,82,71,tetap,2,7,2022
42,85,87,promosi,3,7,2023
42,96,69,tetap,1,6,2024
42,76,87,tetap,2,6,2025
43,96,77,tetap,1,7,2021
43,84,65,tetap,2,7,2022
43,60,82,tetap,3,7,2023
43,77,85,tetap,4,7,2024
43,79,81,tetap,5,7,2025
44,83,73,tetap,1,7,2021
44,71,84,tetap,2,7,2022
44,76,98,tetap,3,7,2023
44,83,68,tetap,4,7,2024
44,80,78,tetap,5,7,2025
45,88,90,promosi,1,5,2021
45,72,70,tetap,1,4,2022
45,74,78,tetap,2,4,2023
45,81,92,tetap,3,4,2024
45,61,96,tetap,4,4,2025
46,84,62,tetap,1,5,2021
46,89,71,tetap,2,5,2022
46,99,100,promosi,3,5,2023
46,77,93,tetap,1,4,2024
46,94,75,tetap,2,4,2025
47,79,85,tetap,1,6,2021
47,75,67,tetap,2,6,2022
47,78,90,tetap,3,6,2023
47,77,91,tetap,4,6,2024
47,70,95,tetap,5,6,2025
48,79,96,tetap,1,7,2021
48,71,96,tetap,2,7,2022
48,75,88,tetap,3,7,2023
48,89,73,tetap,4,7,2024
48,73,82,tetap,5,7,2025
49,85,95,promosi,1,5,2021
49,84,60,tetap,1,4,2022
49,66,79,tetap,2,4,2023
49,71,73,tetap,3,4,2024
49,62,63,mutasi,4,4,2025
50,77,83,tetap,1,6,2021
50,87,81,tetap,2,6,2022
50,90,86,promosi,3,6,2023
50,100,80,tetap,1,5,2024
50,81,90,tetap,2,5,2025
51,95,92,promosi,1,6,2021
51,68,92,tetap,1,5,2022
51,62,87,tetap,2,5,2023
51,64,100,tetap,3,5,2024
51,68,65,tetap,4,5,2025
52,89,61,tetap,1,6,2021
52,60,95,tetap,2,6,2022
52,74,79,tetap,3,6,2023
52,88,92,promosi,4,6,2024
52,93,83,tetap,1,5,2025
53,99,79,tetap,1,5,2021
53,81,81,tetap,2,5,2022
53,91,95,promosi,3,5,2023
53,64,72,tetap,1,4,2024
53,66,60,tetap,2,4,2025
54,67,66,tetap,1,5,2021
54,74,77,tetap,2,5,2022
54,95,81,tetap,3,5,2023
54,68,99,tetap,4,5,2024
54,85,86,promosi,5,5,2025
55,61,60,mutasi,1,5,2021
55,79,94,tetap,1,6,2022
55,80,66,tetap,2,6,2023
55,97,67,tetap,3,6,2024
55,70,63,tetap,4,6,2025
56,71,100,tetap,1,5,2021
56,86,92,promosi,2,5,2022
56,69,92,tetap,1,4,2023
56,97,95,promosi,2,4,2024
56,71,66,tetap,1,3,2025
57,98,63,tetap,1,5,2021
57,61,77,tetap,2,5,2022
57,86,90,promosi,3,5,2023
57,70,63,tetap,1,4,2024
57,69,65,tetap,2,4,2025
58,85,85,promosi,1,5,2021
58,76,86,tetap,1,4,2022
58,70,94,tetap,2,4,2023
58,71,64,tetap,3,4,2024
58,91,68,tetap,4,4,2025
59,97,69,tetap,1,6,2021
59,81,78,tetap,2,6,2022
59,74,75,tetap,3,6,2023
59,99,76,tetap,4,6,2024
59,66,73,tetap,5,6,2025
60,98,89,promosi,1,5,2021
60,61,86,tetap,1,4,2022
60,60,67,tetap,2,4,2023
60,85,70,tetap,3,4,2024
60,64,86,tetap,4,4,2025
61,100,76,tetap,1,6,2021
61,92,93,promosi,2,6,2022
61,80,88,tetap,1,5,2023
61,83,68,tetap,2,5,2024
61,71,61,tetap,3,5,2025
62,71,84,tetap,1,6,2021
62,61,73,tetap,2,6,2022
62,74,60,tetap,3,6,2023
62,94,77,tetap,4,6,2024
62,78,89,tetap,5,6,2025
63,78,82,tetap,1,6,2021
63,65,82,tetap,2,6,2022
63,67,79,tetap,3,6,2023
63,72,71,tetap,4,6,2024
63,62,91,tetap,5,6,2025
64,68,86,tetap,1,5,2021
64,73,88,tetap,2,5,2022
64,75,65,tetap,3,5,2023
64,70,72,tetap,4,5,2024
64,86,70,tetap,5,5,2025
65,70,92,tetap,1,7,2021
65,65,84,tetap,2,7,2022
65,86,94,promosi,3,7,2023
65,89,83,tetap,1,6,2024
65,100,87,promosi,2,6,2025
66,88,80,tetap,1,6,2021
66,85,60,tetap,2,6,2022
66,100,85,promosi,3,6,2023
66,70,67,tetap,1,5,2024
66,61,92,tetap,2,5,2025
67,75,96,tetap,1,5,2021
67,82,95,tetap,2,5,2022
67,84,86,tetap,3,5,2023
67,83,84,tetap,4,5,2024
67,82,62,tetap,5,5,2025
68,82,86,tetap,1,7,2021
68,86,75,tetap,2,7,2022
68,70,67,tetap,3,7,2023
68,76,87,tetap,4,7,2024
68,68,91,tetap,5,7,2025
69,94,97,promosi,1,7,2021
69,62,91,tetap,1,6,2022
69,92,88,promosi,2,6,2023
69,99,100,promosi,3,5,2024
69,69,60,tetap,1,4,2025
70,64,62,mutasi,1,7,2021
70,89,69,tetap,1,7,2022
70,100,60,tetap,2,7,2023
70,71,89,tetap,3,7,2024
70,98,74,tetap,4,7,2025
71,70,96,tetap,1,7,2021
71,86,64,tetap,2,7,2022
71,78,71,tetap,3,7,2023
71,81,97,tetap,4,7,2024
71,83,87,tetap,5,7,2025
72,87,65,tetap,1,6,2021
72,96,81,tetap,2,6,2022
72,74,76,tetap,3,6,2023
72,63,61,mutasi,4,6,2024
72,89,94,promosi,5,7,2025
73,83,98,tetap,1,5,2021
73,91,80,tetap,2,5,2022
73,60,89,tetap,3,5,2023
73,79,90,tetap,4,5,2024
73,65,96,tetap,5,5,2025
74,63,73,tetap,1,7,2021
74,72,60,tetap,2,7,2022
74,66,100,tetap,3,7,2023
74,64,81,tetap,4,7,2024
74,97,73,tetap,5,7,2025
75,73,90,tetap,1,7,2021
75,88,76,tetap,2,7,2022
75,74,83,tetap,3,7,2023
75,98,95,promosi,4,7,2024
75,96,98,promosi,5,6,2025
76,60,85,tetap,1,7,2021
76,61,67,tetap,2,7,2022
76,69,72,tetap,3,7,2023
76,89,90,promosi,4,7,2024
76,75,74,tetap,1,6,2025
77,79,69,tetap,1,5,2021
77,83,64,tetap,2,5,2022
77,82,92,tetap,3,5,2023
77,95,93,promosi,4,5,2024
77,99,85,promosi,5,4,2025
78,77,77,tetap,1,6,2021
78,87,94,promosi,2,6,2022
78,85,80,tetap,1,5,2023
78,69,82,tetap,2,5,2024
78,94,72,tetap,3,5,2025
79,89,96,promosi,1,5,2021
79,64,64,mutasi,2,4,2022
79,99,67,tetap,1,5,2023
79,61,85,tetap,2,5,2024
79,72,73,tetap,3,5,2025
80,78,67,tetap,1,5,2021
80,70,77,tetap,2,5,2022
80,96,84,tetap,3,5,2023
80,92,88,promosi,4,5,2024
80,88,97,promosi,5,4,2025
81,61,92,tetap,1,6,2021
81,98,65,tetap,2,6,2022
81,60,60,mutasi,3,6,2023
81,81,99,tetap,1,7,2024
81,84,90,tetap,2,7,2025
82,85,64,tetap,1,5,2021
82,87,63,tetap,2,5,2022
82,87,91,promosi,3,5,2023
82,64,86,tetap,1,4,2024
82,87,72,tetap,2,4,2025
83,96,86,promosi,1,6,2021
83,80,85,tetap,1,5,2022
83,80,98,tetap,2,5,2023
83,76,99,tetap,3,5,2024
83,93,82,tetap,4,5,2025
84,64,72,tetap,1,5,2021
84,72,88,tetap,2,5,2022
84,86,97,promosi,3,5,2023
84,66,72,tetap,1,4,2024
84,94,82,tetap,2,4,2025
85,92,74,tetap,1,7,2021
85,80,63,tetap,2,7,2022
85,73,65,tetap,3,7,2023
85,84,80,tetap,4,7,2024
85,63,74,tetap,5,7,2025
86,69,95,tetap,1,7,2021
86,61,83,tetap,2,7,2022
86,94,85,promosi,3,7,2023
86,88,72,tetap,1,6,2024
86,66,82,tetap,2,6,2025
87,76,74,tetap,1,5,2021
87,77,84,tetap,2,5,2022
87,73,73,tetap,3,5,2023
87,99,65,tetap,4,5,2024
87,61,96,tetap,5,5,2025
88,73,76,tetap,1,7,2021
88,97,76,tetap,2,7,2022
88,69,96,tetap,3,7,2023
88,64,81,tetap,4,7,2024
88,85,84,tetap,5,7,2025
89,89,74,tetap,1,5,2021
89,61,70,tetap,2,5,2022
89,63,81,tetap,3,5,2023
89,65,79,tetap,4,5,2024
89,89,83,tetap,5,5,2025
90,64,64,mutasi,1,6,2021
90,64,100,tetap,1,7,2022
90,68,99,tetap,2,7,2023
90,84,61,tetap,3,7,2024
90,75,83,tetap,4,7,2025
91,84,70,tetap,1,6,2021
91,61,85,tetap,2,6,2022
91,79,73,tetap,3,6,2023
91,79,68,tetap,4,6,2024
91,100,96,promosi,5,6,2025
92,85,99,promosi,1,5,2021
92,81,61,tetap,1,4,2022
92,72,66,tetap,2,4,2023
92,64,61,mutasi,3,4,2024
92,72,96,tetap,1,5,2025
93,89,74,tetap,1,6,2021
93,81,71,tetap,2,6,2022
93,89,62,tetap,3,6,2023
93,78,79,tetap,4,6,2024
93,88,76,tetap,5,6,2025
94,71,75,tetap,1,5,2021
94,70,87,tetap,2,5,2022
94,98,81,tetap,3,5,2023
94,87,87,promosi,4,5,2024
94,72,79,tetap,1,4,2025
95,72,75,tetap,1,7,2021
95,81,82,tetap,2,7,2022
95,61,91,tetap,3,7,2023
95,93,87,promosi,4,7,2024
95,70,91,tetap,1,6,2025
96,88,100,promosi,1,5,2021
96,69,72,tetap,1,4,2022
96,97,66,tetap,2,4,2023
96,61,73,tetap,3,4,2024
96,98,74,tetap,4,4,2025
97,80,81,tetap,1,6,2021
97,64,90,tetap,2,6,2022
97,81,87,tetap,3,6,2023
97,61,70,tetap,4,6,2024
97,93,73,tetap,5,6,2025
98,64,68,tetap,1,6,2021
98,68,74,tetap,2,6,2022
98,94,75,tetap,3,6,2023
98,78,93,tetap,4,6,2024
98,90,65,tetap,5,6,2025
99,76,62,tetap,1,5,2021
99,100,93,promosi,2,5,2022
99,77,86,tetap,1,4,2023
99,92,87,promosi,2,4,2024
99,90,92,promosi,3,3,2025
100,91,66,tetap,1,5,2021
100,77,82,tetap,2,5,2022
100,82,72,tetap,3,5,2023
100,65,73,tetap,4,5,2024
100,69,77,tetap,5,5,2025
101,85,84,tetap,1,6,2021
101,88,90,promosi,2,6,2022
101,63,87,tetap,1,5,2023
101,85,81,tetap,2,5,2024
101,78,90,tetap,3,5,2025
102,68,100,tetap,1,5,2021
102,66,62,tetap,2,5,2022
102,99,67,tetap,3,5,2023
102,96,86,promosi,4,5,2024
102,86,66,tetap,1,4,2025
103,66,70,tetap,1,6,2021
103,62,99,tetap,2,6,2022
103,93,68,tetap,3,6,2023
103,90,86,promosi,4,6,2024
103,80,80,tetap,1,5,2025
104,64,96,tetap,1,6,2021
104,70,70,tetap,2,6,2022
104,65,99,tetap,3,6,2023
104,63,76,tetap,4,6,2024
104,62,91,tetap,5,6,2025
105,69,89,tetap,1,6,2021
105,98,98,promosi,2,6,2022
105,74,99,tetap,1,5,2023
105,75,90,tetap,2,5,2024
105,81,62,tetap,3,5,2025
106,81,61,tetap,1,5,2021
106,62,63,mutasi,2,5,2022
106,72,77,tetap,1,6,2023
106,72,94,tetap,2,6,2024
106,84,95,tetap,3,6,2025
107,84,85,tetap,1,6,2021
107,87,60,tetap,2,6,2022
107,87,96,promosi,3,6,2023
107,93,99,promosi,4,5,2024
107,81,99,tetap,1,4,2025
108,95,65,tetap,1,7,2021
108,93,63,tetap,2,7,2022
108,96,60,tetap,3,7,2023
108,90,65,tetap,4,7,2024
108,94,71,tetap,5,7,2025
109,73,87,tetap,1,5,2021
109,75,97,tetap,2,5,2022
109,96,90,promosi,3,5,2023
109,88,76,tetap,1,4,2024
109,74,67,tetap,2,4,2025
110,60,67,tetap,1,6,2021
110,79,86,tetap,2,6,2022
110,72,93,tetap,3,6,2023
110,99,61,tetap,4,6,2024
110,75,76,tetap,5,6,2025
111,65,86,tetap,1,7,2021
111,63,98,tetap,2,7,2022
111,93,67,tetap,3,7,2023
111,73,87,tetap,4,7,2024
111,70,91,tetap,5,7,2025
112,65,78,tetap,1,6,2021
112,84,77,tetap,2,6,2022
112,61,82,tetap,3,6,2023
112,77,80,tetap,4,6,2024
112,86,92,promosi,5,6,2025
113,88,88,promosi,1,5,2021
113,81,88,tetap,1,4,2022
113,70,76,tetap,2,4,2023
113,87,77,tetap,3,4,2024
113,85,64,tetap,4,4,2025
114,94,97,promosi,1,6,2021
114,61,82,tetap,1,5,2022
114,63,95,tetap,2,5,2023
114,73,100,tetap,3,5,2024
114,87,77,tetap,4,5,2025
115,60,72,tetap,1,6,2021
115,63,83,tetap,2,6,2022
115,73,95,tetap,3,6,2023
115,91,97,promosi,4,6,2024
115,99,73,tetap,1,5,2025
116,85,76,tetap,1,6,2021
116,100,94,promosi,2,6,2022
116,67,94,tetap,1,5,2023
116,73,63,tetap,2,5,2024
116,90,89,promosi,3,5,2025
117,85,72,tetap,1,7,2021
117,78,97,tetap,2,7,2022
117,98,65,tetap,3,7,2023
117,90,75,tetap,4,7,2024
117,93,62,tetap,5,7,2025
118,88,80,tetap,1,6,2021
118,73,67,tetap,2,6,2022
118,73,73,tetap,3,6,2023
118,87,72,tetap,4,6,2024
118,98,77,tetap,5,6,2025
119,73,75,tetap,1,5,2021
119,67,85,tetap,2,5,2022
119,62,72,tetap,3,5,2023
119,72,80,tetap,4,5,2024
119,86,93,promosi,5,5,2025
120,65,80,tetap,1,7,2021
120,75,79,tetap,2,7,2022
120,93,79,tetap,3,7,2023
120,85,83,tetap,4,7,2024
120,98,75,tetap,5,7,2025
121,81,95,tetap,1,7,2021
121,70,99,tetap,2,7,2022
121,64,93,tetap,3,7,2023
121,82,95,tetap,4,7,2024
121,72,96,tetap,5,7,2025
122,61,82,tetap,1,6,2021
122,91,61,tetap,2,6,2022
122,88,66,tetap,3,6,2023
122,80,85,tetap,4,6,2024
122,77,62,tetap,5,6,2025
123,97,73,tetap,1,6,2021
123,84,73,tetap,2,6,2022
123,99,61,tetap,3,6,2023
123,82,75,tetap,4,6,2024
123,87,72,tetap,5,6,2025
124,68,87,tetap,1,5,2021
124,61,90,tetap,2,5,2022
124,76,65,tetap,3,5,2023
124,86,65,tetap,4,5,2024
124,96,73,tetap,5,5,2025
125,86,76,tetap,1,6,2021
125,93,89,promosi,2,6,2022
125,68,87,tetap,1,5,2023
125,74,88,tetap,2,5,2024
125,62,71,tetap,3,5,2025
126,85,100,promosi,1,5,2021
126,90,83,tetap,1,4,2022
126,64,98,tetap,2,4,2023
126,75,96,tetap,3,4,2024
126,87,70,tetap,4,4,2025
127,62,77,tetap,1,5,2021
127,86,88,promosi,2,5,2022
127,91,89,promosi,3,4,2023
127,84,64,tetap,1,3,2024
127,61,91,tetap,2,3,2025
128,87,92,promosi,1,5,2021
128,98,95,promosi,2,4,2022
128,74,89,tetap,1,3,2023
128,73,90,tetap,2,3,2024
128,96,67,tetap,3,3,2025
129,75,74,tetap,1,6,2021
129,96,94,promosi,2,6,2022
129,85,88,promosi,3,5,2023
129,62,68,tetap,1,4,2024
129,87,100,promosi,2,4,2025
130,74,89,tetap,1,7,2021
130,64,78,tetap,2,7,2022
130,79,66,tetap,3,7,2023
130,81,63,tetap,4,7,2024
130,88,100,promosi,5,7,2025
131,91,71,tetap,1,7,2021
131,62,65,mutasi,2,7,2022
131,70,82,tetap,1,7,2023
131,88,75,tetap,2,7,2024
131,98,62,tetap,3,7,2025
132,78,62,tetap,1,5,2021
132,95,96,promosi,2,5,2022
132,86,73,tetap,1,4,2023
132,65,74,tetap,2,4,2024
132,68,77,tetap,3,4,2025
133,74,76,tetap,1,7,2021
133,64,84,tetap,2,7,2022
133,81,88,tetap,3,7,2023
133,96,69,tetap,4,7,2024
133,80,67,tetap,5,7,2025
134,69,62,tetap,1,5,2021
134,66,67,tetap,2,5,2022
134,100,81,tetap,3,5,2023
134,90,61,tetap,4,5,2024
134,98,99,promosi,5,5,2025
135,68,83,tetap,1,5,2021
135,89,60,tetap,2,5,2022
135,92,64,tetap,3,5,2023
135,84,75,tetap,4,5,2024
135,86,82,tetap,5,5,2025
136,89,76,tetap,1,7,2021
136,99,73,tetap,2,7,2022
136,87,92,promosi,3,7,2023
136,92,68,tetap,1,6,2024
136,64,60,mutasi,2,6,2025
137,100,79,tetap,1,7,2021
137,62,61,mutasi,2,7,2022
137,87,82,tetap,1,7,2023
137,71,76,tetap,2,7,2024
137,74,96,tetap,3,7,2025
138,75,77,tetap,1,5,2021
138,68,90,tetap,2,5,2022
138,91,90,promosi,3,5,2023
138,97,62,tetap,1,4,2024
138,62,98,tetap,2,4,2025
139,71,86,tetap,1,7,2021
139,84,71,tetap,2,7,2022
139,91,100,promosi,3,7,2023
139,87,79,tetap,1,6,2024
139,70,87,tetap,2,6,2025
140,96,61,tetap,1,7,2021
140,79,87,tetap,2,7,2022
140,91,76,tetap,3,7,2023
140,64,76,tetap,4,7,2024
140,60,82,tetap,5,7,2025
141,82,75,tetap,1,6,2021
141,86,90,promosi,2,6,2022
141,60,72,tetap,1,5,2023
141,63,60,mutasi,2,5,2024
141,82,100,tetap,1,6,2025
142,64,63,mutasi,1,5,2021
142,71,74,tetap,1,6,2022
142,65,76,tetap,2,6,2023
142,69,93,tetap,3,6,2024
142,97,74,tetap,4,6,2025
143,81,90,tetap,1,5,2021
143,77,69,tetap,2,5,2022
143,99,87,promosi,3,5,2023
143,100,86,promosi,4,4,2024
143,86,91,promosi,5,3,2025
144,68,79,tetap,1,6,2021
144,77,62,tetap,2,6,2022
144,72,62,tetap,3,6,2023
144,64,95,tetap,4,6,2024
144,83,87,tetap,5,6,2025
145,99,84,tetap,1,5,2021
145,70,87,tetap,2,5,2022
145,90,81,tetap,3,5,2023
145,79,60,tetap,4,5,2024
145,98,66,tetap,5,5,2025
146,75,71,tetap,1,5,2021
146,92,97,promosi,2,5,2022
146,86,99,promosi,3,4,2023
146,69,85,tetap,1,3,2024
146,88,64,tetap,2,3,2025
147,85,94,promosi,1,6,2021
147,99,86,promosi,2,5,2022
147,71,96,tetap,1,4,2023
147,87,63,tetap,2,4,2024
147,78,73,tetap,3,4,2025
148,63,70,tetap,1,6,2021
148,73,84,tetap,2,6,2022
148,76,60,tetap,3,6,2023
148,74,83,tetap,4,6,2024
148,87,73,tetap,5,6,2025
149,76,88,tetap,1,5,2021
149,91,72,tetap,2,5,2022
149,82,100,tetap,3,5,2023
149,87,98,promosi,4,5,2024
149,68,97,tetap,1,4,2025
150,84,99,tetap,1,6,2021
150,85,62,tetap,2,6,2022
150,98,86,promosi,3,6,2023
150,61,100,tetap,1,5,2024
150,60,99,tetap,2,5,2025
151,84,83,tetap,1,5,2021
151,66,69,tetap,2,5,2022
151,86,88,promosi,3,5,2023
151,67,71,tetap,1,4,2024
151,77,78,tetap,2,4,2025
152,86,61,tetap,1,5,2021
152,74,72,tetap,2,5,2022
152,68,95,tetap,3,5,2023
152,99,66,tetap,4,5,2024
152,65,89,tetap,5,5,2025
153,81,68,tetap,1,5,2021
153,69,85,tetap,2,5,2022
153,64,92,tetap,3,5,2023
153,61,86,tetap,4,5,2024
153,81,61,tetap,5,5,2025
154,80,75,tetap,1,5,2021
154,95,84,tetap,2,5,2022
154,70,60,tetap,3,5,2023
154,65,70,tetap,4,5,2024
154,91,77,tetap,5,5,2025
155,82,79,tetap,1,7,2021
155,87,76,tetap,2,7,2022
155,61,67,tetap,3,7,2023
155,68,87,tetap,4,7,2024
155,77,65,tetap,5,7,2025
156,94,81,tetap,1,5,2021
156,60,94,tetap,2,5,2022
156,98,93,promosi,3,5,2023
156,76,89,tetap,1,4,2024
156,98,97,promosi,2,4,2025
157,73,76,tetap,1,6,2021
157,70,84,tetap,2,6,2022
157,98,89,promosi,3,6,2023
157,75,96,tetap,1,5,2024
157,87,90,promosi,2,5,2025
158,63,100,tetap,1,7,2021
158,100,77,tetap,2,7,2022
158,90,79,tetap,3,7,2023
158,89,99,promosi,4,7,2024
158,63,75,tetap,1,6,2025
159,95,98,promosi,1,7,2021
159,81,90,tetap,1,6,2022
159,100,72,tetap,2,6,2023
159,95,96,promosi,3,6,2024
159,90,96,promosi,4,5,2025
160,64,72,tetap,1,6,2021
160,99,87,promosi,2,6,2022
160,85,64,tetap,1,5,2023
160,66,88,tetap,2,5,2024
160,69,72,tetap,3,5,2025
161,96,87,promosi,1,6,2021
161,64,61,mutasi,2,5,2022
161,92,62,tetap,1,6,2023
161,65,77,tetap,2,6,2024
161,92,65,tetap,3,6,2025
162,78,79,tetap,1,5,2021
162,60,74,tetap,2,5,2022
162,84,78,tetap,3,5,2023
162,67,76,tetap,4,5,2024
162,94,83,tetap,5,5,2025
163,93,61,tetap,1,5,2021
163,78,74,tetap,2,5,2022
163,99,93,promosi,3,5,2023
163,79,65,tetap,1,4,2024
163,77,81,tetap,2,4,2025
164,89,75,tetap,1,6,2021
164,66,72,tetap,2,6,2022
164,90,93,promosi,3,6,2023
164,79,80,tetap,1,5,2024
164,91,64,tetap,2,5,2025
165,87,62,tetap,1,7,2021
165,93,88,promosi,2,7,2022
165,93,92,promosi,3,6,2023
165,77,85,tetap,1,5,2024
165,93,87,promosi,2,5,2025
166,75,69,tetap,1,7,2021
166,91,85,promosi,2,7,2022
166,71,76,tetap,1,6,2023
166,96,90,promosi,2,6,2024
166,71,92,tetap,1,5,2025
167,95,88,promosi,1,6,2021
167,86,88,promosi,2,5,2022
167,88,96,promosi,3,4,2023
167,96,84,tetap,1,3,2024
167,81,78,tetap,2,3,2025
168,72,72,tetap,1,6,2021
168,79,87,tetap,2,6,2022
168,80,72,tetap,3,6,2023
168,91,79,tetap,4,6,2024
168,60,100,tetap,5,6,2025
169,72,82,tetap,1,6,2021
169,71,66,tetap,2,6,2022
169,74,60,tetap,3,6,2023
169,87,71,tetap,4,6,2024
169,98,77,tetap,5,6,2025
170,66,68,tetap,1,5,2021
170,62,66,tetap,2,5,2022
170,90,87,promosi,3,5,2023
170,61,89,tetap,1,4,2024
170,66,61,tetap,2,4,2025
171,84,80,tetap,1,6,2021
171,89,78,tetap,2,6,2022
171,89,62,tetap,3,6,2023
171,79,65,tetap,4,6,2024
171,73,96,tetap,5,6,2025
172,89,92,promosi,1,5,2021
172,99,84,tetap,1,4,2022
172,73,69,tetap,2,4,2023
172,65,62,mutasi,3,4,2024
172,96,62,tetap,1,5,2025
173,79,100,tetap,1,7,2021
173,73,77,tetap,2,7,2022
173,99,62,tetap,3,7,2023
173,68,85,tetap,4,7,2024
173,86,75,tetap,5,7,2025
174,96,89,promosi,1,7,2021
174,77,60,tetap,1,6,2022
174,90,85,promosi,2,6,2023
174,80,82,tetap,1,5,2024
